Initial Guess,Remaining Valid Guesses,Remaining Valid Solutions
adore,2633.409879,469.8414211
aimer,2543.259532,470.2019064
auris,2481.689775,470.3323224
aunes,2501.32799,470.3435875
noles,2419.967071,470.4406412
aside,2917.638648,470.6728769
slade,2774.011265,470.6850087
aider,2556.42851,470.9267764
rains,2478.5026,470.9865685
noria,2521.269497,471.0892548
olpae,2652.118284,471.1486135
grate,2575.308925,471.2742634
oared,2520.988735,471.2807626
daine,2645.90208,471.4605719
kiore,2599.306326,471.855286
sated,2607.026863,472.0164645
paeon,2623.583189,472.0454939
taupe,2601.47747,472.5706239
palet,2506.965338,472.5922877
cries,2449.586655,472.644714
coset,2703.133016,472.7746967
marle,2525.92201,472.8730503
lacer,2466.211005,472.952773
bosie,2880.969671,473.0181976
lathe,2521.004333,473.1005199
coste,2748.064558,473.1113518
ceorl,2527.499133,473.194974
hares,2414.380416,473.47487
rotes,2408.835789,473.4978336
loast,2786.485269,473.5797227
diane,2694.581456,473.7084055
nacre,2530.335355,473.7699307
uraos,2593.802426,473.9233102
haute,2598.217071,473.992201
aides,2550.030329,474.2504333
prole,2592.02773,474.2647314
caner,2502.133882,474.3045927
clone,2638.326256,474.4870017
serac,2579.070191,474.5987868
prase,2840.993501,474.715338
sager,2618.461438,474.8102253
slice,2743.844021,474.9181109
tenia,2525.866551,475.1932409
tawie,2601.517764,475.3999133
olent,2601.664211,475.3999133
claes,2539.168111,475.4363085
nairu,2569.185875,475.4636049
tenor,2527.417678,475.5259965
crone,2593.644281,475.7720971
nitre,2502.808059,475.7989601
cates,2470.526863,475.8856153
parse,2748.27253,476.0407279
aroid,2688.914211,476.0493934
tiars,2549.613085,476.1607452
raits,2493.363518,476.4224437
thane,2642.311525,476.4263432
coles,2454.630849,476.4571057
saned,2688.119584,476.5112652
roans,2555.961872,476.5649913
acute,2622.840121,476.6204506
risen,2684.063258,476.6529463
silen,2640.831023,476.6629116
marse,2774.804593,476.7439341
races,2420.585789,476.7638648
elain,2647.62435,477.0008666
urena,2580.003466,477.0368284
scone,2769.580156,477.2105719
tesla,2672.109185,477.3812825
lairy,2503.094021,477.4939341
pioye,2664.299827,477.5420277
tones,2486.624783,477.6724437
taces,2472.617851,477.894714
lance,2591.792894,478.0892548
dealt,2611.717504,478.2993934
toney,2481.325823,478.3184575
rathe,2524.17331,478.3955806
hayer,2496.749567,478.5025997
naris,2475.200607,478.6035529
glare,2628.447574,478.6169844
coria,2579.564558,478.6221837
shire,2683.493068,478.6542461
yrent,2537.592721,478.715338
stade,2768.987868,478.7495667
resay,2690.142548,478.7950607
neats,2545.845754,479.0749567
noter,2506.891681,479.3318891
youse,2826.340988,479.3999133
cloye,2647.081023,479.4584055
outre,2577.549393,479.5134315
ranis,2499.531196,479.6169844
toran,2557.387782,479.6629116
yores,2420.394714,480.1468804
canes,2507.324957,480.1516464
rines,2439.690641,480.257799
souce,2781.638215,480.2954939
resit,2693.494367,480.3362218
stoai,2734.144714,480.3691508
coati,2650.349653,480.4289428
trans,2565.464471,480.4441075
lento,2520.961438,480.6009532
utile,2627.360485,480.6070191
tared,2508.97227,480.6837088
noule,2657.316291,480.6863085
anode,2752.724437,480.9462738
targe,2550.614818,481.0667244
solde,2764.437175,481.1607452
curie,2582.765598,481.1798094
clart,2587.829289,481.3487868
syren,2562.644281,481.3535529
dares,2486.372184,481.3747834
luser,2703.094021,481.6802426
tased,2752.837955,481.7474003
tarsi,2690.523397,482.0606586
roues,2475.943674,482.2599653
iotas,2618.288128,482.2911612
shore,2719.987002,482.3314558
rites,2447.644714,482.4618718
crine,2626.528596,482.5667244
thrae,2550.707972,482.665078
hales,2500.02643,482.7045061
cadie,2704.603553,482.7664645
pilae,2669.951473,482.7790295
tirls,2417.010399,482.9774697
erica,2619.162478,483.0875217
hilar,2587.492634,483.1685442
amies,2614.081889,483.2534662
styre,2602.735702,483.2755633
afore,2696.237435,483.4055459
taros,2520.235702,483.5294627
renay,2506.340121,483.7435009
antes,2562.789428,483.7712305
drole,2646.584922,483.8786828
cires,2451.929809,483.8791161
hater,2535.573224,483.9445407
shier,2673.520797,484.245234
mahoe,2726.409012,484.2629983
afire,2691.857452,484.4020797
sabre,2716.729636,484.4740035
conte,2615.843588,484.5870884
reins,2498.455806,484.6039861
large,2570.992201,484.6252166
terns,2455.573657,484.7772964
hotel,2556.497834,484.8401213
seton,2705.817158,484.8461872
lenos,2525.631716,484.9137782
ocrea,2538.363085,484.9319757
airns,2549.083189,485.020364
cores,2456.618284,485.037695
plane,2725.529029,485.1035529
relay,2490.950173,485.2863951
spare,2782.928076,485.3479203
heart,2612.443674,485.4376083
peart,2630.362652,485.4597054
early,2507.645581,485.614818
yales,2511.328856,485.6971404
arsed,2840.647314,485.7058059
boite,2680.665511,485.7365685
paler,2562.09792,485.7396014
horse,2796.462738,485.7898614
yeans,2592.834055,486.0264298
lures,2429.19844,486.1967071
tiles,2508.729636,486.2573657
vaire,2676.711005,486.287695
rased,2777.544627,486.377383
enrol,2587.183276,486.5108319
hosel,2787.764298,486.5485269
kaies,2619.083622,486.6967071
oaker,2627.524263,486.7370017
clear,2638.295061,486.8717504
manet,2615.001733,486.9319757
drail,2712.360485,486.9415078
radio,2659.686308,487.0151646
aloin,2760.549827,487.017331
seric,2629.194107,487.0294627
abore,2720.925477,487.0446274
cleat,2640.623484,487.0862218
leash,2835.927643,487.1637782
suite,2758.860919,487.1724437
arson,2915.640815,487.2040728
acres,2480.792461,487.2738302
trona,2630.899047,487.2928943
poake,2801.406412,487.3409879
sural,2675.974437,487.3466205
cadet,2624.044627,487.4389081
pause,2895.441508,487.4601386
perai,2594.241768,487.5337955
argle,2666.605286,487.5589255
renos,2505.639081,487.6438475
shear,2739.860052,487.6993068
arish,2920.75,488.0017331
resin,2763.876516,488.0411612
steal,2729.758232,488.0537262
urnal,2648.760399,488.1239168
paren,2577.297227,488.1494801
cosey,2782.507799,488.2435009
soled,2725.216638,488.444974
helio,2621.892114,488.6057192
tsade,2934.392548,488.737435
lated,2568.925477,488.7907279
hayle,2639.774263,488.8734835
toaze,2731.092721,489.0233969
dater,2578.431542,489.0762565
comae,2752.951906,489.1867418
artis,2613.72357,489.5415945
lunet,2579.821924,489.6845754
taper,2578.803726,489.7746967
goier,2641.595321,489.7764298
teils,2569.560225,489.902513
alowe,2785.344887,489.9501733
lyres,2425.637782,490.0112652
laces,2531.57799,490.3457539
loave,2755.161612,490.4129116
manse,2911.032496,490.4202773
ulnar,2662.960139,490.4306759
hoyle,2654.245667,490.5025997
abies,2649.59922,490.6087522
noels,2591.201906,490.6403813
hears,2602.498267,490.6754766
tarns,2518.106153,490.7209705
pater,2581.546794,490.8141248
leany,2613.385615,490.8461872
carol,2630.533362,490.8565858
spaer,2768.657712,490.9280763
olein,2713.259532,490.9601386
toras,2559.483536,490.9696707
tapen,2620.42201,491.0407279
pareu,2585.457539,491.4705373
lyart,2585.860052,491.5311958
talon,2645.873917,491.6451473
gares,2530.660745,491.8539861
spane,2901.730069,491.8925477
rules,2466.554593,491.9263432
roist,2817.365251,491.9549393
tonal,2674.614818,492.1009532
minae,2747.44974,492.1468804
elans,2663.560225,492.1815425
dates,2583.135182,492.2478336
lunar,2639.404246,492.2677643
armet,2648.239168,492.3084922
cotes,2548.551993,492.3245234
airts,2571.632149,492.4042461
shoer,2726.204073,492.5038995
nurse,2793.392114,492.5623917
niter,2565.386482,492.6915078
logie,2735.44974,492.7157712
coure,2689.062825,492.7209705
rotls,2487.556326,492.7980936
notes,2557.220537,492.8093588
leapt,2663.818024,492.889948
inure,2681.626083,492.9328423
paten,2627.287262,493.062825
sorta,2675.67721,493.122617
pearl,2677.068891,493.2097054
starn,2767.257799,493.2664645
zaire,2718.488302,493.4722704
rhone,2660.04636,493.5229636
crias,2639.780329,493.5420277
ramet,2598.619151,493.5957539
coley,2567.784229,493.6516464
dorse,2893.870884,493.6993068
slant,2847.759099,493.8106586
corey,2518.582756,494.067591
saber,2722.020364,494.2647314
outer,2610.890815,494.3184575
rouen,2604.788562,494.347487
shone,2876.093588,494.4709705
rotan,2644.911612,494.6191508
citer,2581.153813,494.6681109
ratos,2587.332756,494.7001733
plier,2644.879116,494.7053726
sired,2704.107019,494.7348354
resto,2760.818891,494.7859619
amine,2820.591854,494.8496534
horal,2633.549393,494.9194107
brane,2750.400347,494.9480069
rated,2584.47227,494.9770364
segar,2771.57409,495.0155979
lader,2625.37825,495.3024263
walie,2730.986568,495.3479203
prose,2936.954939,495.4029463
spale,2898.616118,495.4246101
telco,2613.088821,495.4770364
faine,2778.307626,495.5043328
agone,2831.111785,495.5142981
ulyie,2722.360052,495.5385615
lites,2554.92331,495.6958406
brise,2963.689775,495.707539
aspie,3018.555026,495.8487868
table,2678.331456,495.9168111
heals,2645.017331,495.937175
shiel,2780.007799,495.937175
ousel,2875.539861,496.0745234
gater,2613.360919,496.1347487
taube,2730.164211,496.3812825
monie,2779.006499,496.3817158
tamer,2616.882149,496.4722704
tuner,2588.110485,496.4766031
inlet,2633.569757,496.4822357
grise,2970.172877,496.4909012
eosin,2947.84922,496.4961005
cruel,2625.512998,496.5121317
stela,2745.091421,496.520364
blate,2721.55286,496.5342288
salto,2757.94974,496.6013865
motel,2639.4974,496.6113518
sabir,2821.17201,496.6334489
tiers,2578.852686,496.6850087
rents,2510.539861,496.694974
selah,2753.598787,496.694974
frate,2711.296794,496.7508666
stean,2796.569324,496.7967938
farse,2888.837088,496.8908146
salon,2849.190641,496.910312
arled,2651.219237,496.9389081
toled,2614.22357,496.9818024
prise,2928.149047,497.0818891
prone,2728.086222,497.1156846
lased,2880.693241,497.1291161
nirls,2481.32799,497.182409
hairs,2633.620451,497.2391681
meant,2725.052426,497.2439341
coyer,2603.900347,497.2448007
ailed,2700.336222,497.3882149
trope,2692.428076,497.3994801
sarod,2796.171577,497.7300693
samen,2805.62565,497.9233102
samel,2795.708839,498.0329289
argue,2782.484402,498.0775563
holes,2574.670711,498.257799
slope,2912.135182,498.3561525
tolan,2686.87305,498.4090121
ancle,2740.445841,498.4120451
derat,2661.919411,498.4215771
laird,2672.85182,498.4883016
astir,2935.297227,498.6018198
dears,2668.672877,498.8171577
nerts,2510.368718,499.0025997
style,2744.904246,499.0207972
dales,2615.072357,499.0537262
stage,2878.219671,499.1490468
yenta,2593.326256,499.1785095
arnut,2736.826256,499.2937608
onset,2880.486135,499.389948
stern,2744.105286,499.6061525
anime,2847.861352,499.7837955
mater,2632.113518,499.9332756
eloin,2772.207106,499.9467071
cameo,2725.409879,499.9488735
lager,2639.320191,499.9943674
istle,2903.030329,500.037695
tyres,2496.105719,500.042461
daris,2621.788128,500.1239168
spate,2869.282929,500.2097054
sonde,2915.156412,500.2140381
nosey,2835.662045,500.347487
crest,2852.529896,500.3713172
maser,2869.326256,500.3830156
sored,2745.106586,500.3843154
helot,2655.670277,500.4345754
wrate,2730.279896,500.4493068
morel,2624.12435,500.4900347
pares,2586.553726,500.5745234
clies,2640.370884,500.6455806
moira,2745.125217,500.6512132
sider,2777.823657,500.754766
panel,2695.27253,500.9601386
agile,2826.485702,501.0697574
cones,2602.35312,501.072357
lamer,2646.613518,501.0918544
sable,2877.474003,501.3942808
cruse,2931.963605,501.4107452
slide,2920.916378,501.5294627
rices,2537.084489,501.6269497
recal,2640.965771,501.6282496
lines,2596.592288,501.6993068
unlet,2653.613951,501.7859619
seity,2717.910745,501.8136915
blare,2756.379549,501.8262565
paoli,2778.57409,501.8422877
cased,2934.769497,501.9116118
rants,2575.356586,501.965338
rotas,2629.70104,502.0060659
islet,2864.996967,502.0116984
farle,2679.894281,502.1057192
sadhe,2893.043328,502.2170711
rhine,2698.051993,502.419844
coral,2692.39948,502.6026863
shade,2976.375217,502.6061525
lapse,2954.594887,502.6334489
salep,2794.930676,502.6395147
morse,2926.961005,502.7859619
sayed,2796.071057,502.8362218
carls,2544.857019,502.9328423
herls,2515.108752,502.9852686
oread,2773.325823,503.0129983
miler,2640.507366,503.0480936
tripe,2713.600087,503.080156
haste,2883.584055,503.0979203
sloan,2939.666378,503.1338821
teads,2709.044627,503.1880416
usnea,2909.4987,503.2331023
mares,2589.535962,503.5151646
ceros,2581.187175,503.5229636
rages,2598.207539,503.5268631
prial,2777.112218,503.5775563
oldie,2840.04896,503.8760832
arpen,2729.708406,504.0238302
tride,2725.898614,504.0411612
riyal,2681.038995,504.1317158
poler,2659.868718,504.1676776
liard,2730.858319,504.2279029
beano,2795.959705,504.2842288
gorse,2952.9974,504.3929809
oleic,2769.978336,504.4185442
rugae,2757.610052,504.5242634
braes,2689.701473,504.5537262
trues,2597.773397,504.6096187
satem,2780.330156,504.6971404
loans,2734.785095,504.7894281
claro,2760.22747,504.7902946
inter,2653.191941,504.8392548
smore,2873.347054,504.8457539
spore,2868.727903,504.897747
alder,2723.211438,505.0563258
lades,2653.319757,505.1221837
throe,2675.937608,505.1308492
paste,2902.992634,505.1312825
truce,2705.136482,505.1468804
ovate,2821.558059,505.3253899
noyes,2624.664211,505.47487
since,2893.151646,505.4865685
oaken,2766.862218,505.4939341
drant,2798.677643,505.5580589
sture,2773.845754,505.6117851
crena,2727.313258,505.7092721
raids,2673.59922,505.7227036
stria,2767.020797,505.7694974
cruet,2675.704073,505.8110919
glair,2798.008232,505.8240901
ricey,2566.9974,505.9380416
rainy,2679.633449,506.034662
cline,2797.948007,506.1802426
hoser,2869.574523,506.2603986
grace,2824.389081,506.2742634
roily,2654.267331,506.3201906
safer,2790.603553,506.3838821
solan,2905.135615,506.3968804
grail,2809.669411,506.4935009
birse,2949.278596,506.4969671
urent,2725.968371,506.5762565
birle,2687.636049,506.8713172
dries,2660.295494,506.9215771
relic,2605.646014,507.147747
steil,2834.943674,507.1481802
patio,2796.617418,507.1499133
latke,2721.929809,507.2508666
intel,2690.983102,507.2725303
trode,2754.374783,507.3331889
reads,2697.883449,507.3344887
tauon,2800.931976,507.3544194
sepia,2841.960139,507.4345754
holey,2627.439341,507.5771231
alike,2876.832322,507.5831889
tuyer,2628.114385,507.5979203
audio,2914.341854,507.6559792
certy,2532.849653,507.7443674
spire,2867.034662,507.7729636
tails,2704.939341,507.8011265
piler,2665.127816,507.8123917
acnes,2661.348787,507.9267764
maerl,2741.505199,507.9419411
meril,2672.707972,508.0186308
lande,2780.066724,508.2049393
trois,2689.560225,508.215338
losed,2944.991334,508.2543328
aglet,2727.415945,508.2781629
crape,2827.728336,508.2863951
morne,2739.52383,508.44974
realm,2729.810225,508.6451473
ocean,2806.041594,508.7036395
flare,2795.767764,508.7114385
slime,2952.372617,508.7512998
hires,2589.029029,508.7820624
petar,2724.415945,508.8401213
sidle,2933.250867,508.8565858
cauri,2740.743501,508.8570191
simar,2914.586655,508.9883016
mitre,2712.047227,509.0437608
baser,2926.84922,509.0818891
redia,2714.735269,509.1832756
amice,2894.396447,509.2530329
aegis,2732.114385,509.3353553
pilea,2717.392114,509.3375217
gates,2673.466205,509.3457539
honer,2682.588388,509.410312
dearn,2784.556326,509.4948007
gears,2711.67591,509.7456672
recta,2632.348787,509.8063258
rosit,2929.983969,509.8786828
taker,2688.17331,510.0138648
sceat,2847.665511,510.1122184
folie,2822.570191,510.1221837
slain,2990.42851,510.1841421
notal,2761.870017,510.2305026
parol,2757.359619,510.2448007
tolas,2696.191075,510.2881282
coast,3045.483969,510.3401213
tosed,2936.565858,510.4064125
cadre,2787.29766,510.5372617
sheol,2915.426343,510.5389948
triac,2764.662045,510.5870884
harls,2579.171577,510.6000867
royal,2732.064558,510.6434142
sedan,2927.87305,510.7283362
ramen,2702.934142,510.7811958
trios,2708.612218,510.8440208
blase,3103.465338,510.9519064
cades,2697.315858,511.1490468
alist,3021.536828,511.2019064
satyr,2787.240035,511.2733969
apode,2945.262998,511.3444541
eyras,2643.791161,511.4835355
tread,2759.130849,511.5103986
moria,2768.241768,511.5220971
doles,2666.538995,511.6468804
cogie,2875.254766,511.7569324
deans,2779.094887,511.8479203
house,3052.545494,512.0610919
great,2783.008666,512.102253
riads,2754.782929,512.1655113
troke,2778.512565,512.1681109
lacey,2666.513432,512.3110919
rhies,2650.884749,512.3145581
recit,2669.904246,512.3669844
taber,2703.466205,512.6416811
namer,2723.732669,512.6520797
blaer,2777.792028,512.6819757
chare,2840.127816,512.6928076
cesta,2884.284662,512.7227036
aryls,2676.993501,512.7872617
douse,3100.416811,512.7985269
soger,2838.84662,512.8076256
auger,2774.185009,512.8110919
deals,2760.167244,512.8414211
peril,2697.32799,512.9337088
taroc,2715.335789,513.0138648
heast,2977.509099,513.067591
rapes,2658.191508,513.1156846
towie,2824.640815,513.1382149
bares,2638.967504,513.1720104
lucre,2707.90338,513.2941941
loper,2709.87305,513.3284229
smote,2931.890381,513.3921144
coney,2685.239601,513.4982669
drone,2826.437608,513.5688908
curse,2939.434575,513.5727903
pilar,2781.664211,513.7266031
volae,2853.861352,513.864818
gales,2688.935009,513.8869151
enact,2841.20364,513.97487
treys,2668.956239,513.9943674
apter,2735.958406,514.0610919
tried,2735.093154,514.305026
oners,2704.174177,514.3145581
inert,2756.056759,514.3357886
shote,2914.753899,514.3622184
ultra,2703.489601,514.5428943
saint,2947.189775,514.7270364
trike,2781.497834,514.7404679
cairn,2794.168977,514.7933276
panes,2724.957972,514.8245234
smile,2983.52773,514.9328423
usage,3169.085789,515.0177643
rowie,2803.016031,515.2131716
brose,3080.134315,515.2482669
sheal,2928.483969,515.2829289
poule,2880.832756,515.3479203
baste,2985.240035,515.4558059
neath,2783.954073,515.4913345
cutie,2821.094887,515.669844
tepal,2762.105286,515.6724437
peaty,2744.806326,515.6854419
crans,2767.080156,515.7101386
spier,2863.489168,515.7474003
sware,2956.054159,515.7755633
acers,2697.823224,515.885182
opine,2920.154246,515.9133449
trild,2746.707972,515.9306759
alkie,2907.457106,515.9735702
manes,2725.405546,516.0073657
range,2779.056759,516.080156
hates,2712.262132,516.177643
pleat,2819.091854,516.177643
yarto,2691.245234,516.2551993
those,3038.879116,516.3513865
neist,2945.937608,516.432409
monte,2811.834922,516.4393414
yites,2674.345321,516.5584922
ceils,2719.086655,516.7140381
saker,2855.304593,516.7474003
cirls,2596.236135,516.7733969
lenis,2682.147314,516.8032929
